fips,opioid_presc_rate,total_population,average_household_size,percent_with_healthcare,median_household_income,median_age,perc_foreign_born,percent_grad_high_school,perc_male,poverty_population,opioid_death_rate
34021,54.1,370212,2.69,0.9960573310450392,72804,38.4,0.2147904443940229,0.8743842563758281,0.4893358400051862,40354,118.591
34023,41.4,830300,2.85,0.980504709058826,79593,37.7,0.31886787907985065,0.8875531879012947,0.4918390943032639,70908,93.54
34025,55.1,629185,2.67,0.9933107077861394,85242,42.3,0.13300380651159835,0.9271176776246511,0.48666131582920763,46492,124.472
34027,42.3,498192,2.72,0.9952892638320145,100214,42,0.18785929922600123,0.9379413040335406,0.48991954908950763,22068,92.692
34029,66.5,583450,2.59,0.9990807258860781,61994,42.8,0.07931442282971977,0.9050281134077227,0.4803462164709915,64795,191.9
34031,45.9,507574,3.09,0.9857284367318487,59739,36.5,0.28294593497696885,0.823099609186529,0.48667977477175745,83203,110.051
34033,72,65120,2.61,0.9957522915269394,61831,41.8,0.052395577395577396,0.8641868319889785,0.4860718673218673,8602,209.66
34035,37,330604,2.81,0.9848787146907487,100667,40.8,0.2419087488354648,0.9417940858751307,0.48774969449855415,16479,87.191
34037,59.6,145930,2.67,0.992749658002736,86565,43.4,0.07754402795861029,0.938921460612261,0.4960666072774618,8237,180.323
34039,40.8,548744,2.91,0.9828800626100568,69594,38.1,0.2952214511684866,0.8561866840023836,0.487044960856064,59034,87.648
34041,70.6,107226,2.52,0.994277108433735,70471,42.6,0.09246824464215768,0.9007356875334404,0.48620670359800794,8394,155.697
32001,108,24252,2.51,0.9957028852056476,47415,38.9,0.06448952663697839,0.8959025470653378,0.5099785584694045,3802,152.905
32003,77.5,2035572,2.78,0.9784343236500835,51575,36.4,0.21890898479641102,0.8449547503170746,0.5010517928130275,315358,135.967
32005,104.4,47259,2.37,0.992354031510658,58535,49.4,0.07505448697602574,0.9282649201061487,0.5026555788315453,4984,114.536
32007,64,51562,2.87,0.977027027027027,71799,33.5,0.09287847639734688,0.8341118584952666,0.5226911291261006,5574,95.844
32013,78.8,17067,2.74,0.9771341463414634,65212,35.3,0.10710728306087772,0.8386887072808321,0.5256342649557626,1762,142.501
32015,0.3,5946,2.79,0.9919678714859438,78190,37.2,0.12243525058863101,0.8095487932843651,0.5433905146316852,676,NA
32017,85.6,5194,2.55,1,44866,37.4,0.023488640739314594,0.9012027491408935,0.5494801694262611,631,NA
32019,92.4,51657,2.63,0.9928591830905455,47255,43.2,0.0710649089184428,0.8493184840425532,0.503339334456124,8482,195.566
32021,120.5,4566,2.25,0.9956521739130435,38923,48.7,0.04533508541392904,0.8740480374926772,0.5328515111695138,907,NA
32023,137,42625,2.42,1,41712,50.8,0.07329032258064516,0.8490796012126137,0.49686803519061584,7658,352.348
32031,83.4,435019,2.58,0.9880713935995015,52870,37.6,0.14789928715757242,0.8672879604718013,0.5029550433429344,65248,145.057
32033,101.3,9974,2.71,1,57122,39.4,0.0382995789051534,0.8364392201834863,0.5671746541006617,987,NA
32510,130.1,54482,2.43,0.9966265060240964,47668,42.6,0.11702947762563783,0.8680028001763074,0.5131786645130502,8787,158.927
36001,46.6,307463,2.35,0.9988728930785389,59887,37.9,0.08814393927074152,0.9276702740854017,0.4838826135177241,39349,104.583
36003,58.8,48070,2.36,0.9975247524752475,42776,38.3,0.022363220303723737,0.8858283171944518,0.5057832327855211,7285,203.921
36005,30.7,1428357,2.86,0.9888654589603502,34299,33.2,0.34404214072532285,0.7060884893669548,0.47078356461304843,427574,79.892
36007,69.6,198093,2.37,0.9974645689767261,46261,39.9,0.0626170536061345,0.8985518286876566,0.4915014664829146,33615,173.549
36009,73.4,78962,2.41,0.9913388668350775,42601,41.4,0.01994630328512449,0.8785575194727382,0.4950355867379246,13954,186.67
36011,49.3,79173,2.43,0.9996452013482349,52082,42.5,0.025210614729768988,0.877016890615725,0.5124979475326185,9010,179.808
36013,72.6,132646,2.36,0.9997034400948992,42993,41.7,0.020136302640109766,0.8818215033048793,0.49587624202765257,23894,179.917
36015,84.6,88267,2.35,1,50320,40.9,0.02730352226766515,0.8967776991092158,0.49594978870925716,13044,224.74
36017,52.6,49549,2.49,1,45668,43.8,0.01796201739692022,0.8720717108654562,0.4980524329451654,7741,212.026
36019,76.9,81685,2.32,0.9993961352657005,49930,39.4,0.04529595396951705,0.8572205701022703,0.5154801983228254,12163,186.252
36021,61.5,62195,2.37,0.9993698802772527,59105,46.6,0.06103384516440228,0.8844947467701959,0.5023554948146958,7067,201.676
36023,59.4,49043,2.54,0.9996457669146298,49514,36.1,0.019044511958893215,0.8987591097104589,0.48775564300715696,6675,197.628
36025,66.3,46901,2.31,1,43720,46.4,0.03720602972218076,0.8696358223318197,0.5013752372017655,6799,298.75
36027,55.6,296928,2.61,0.995802671027528,71904,41.2,0.1159001508783274,0.8992583650387639,0.49730237633365665,26229,148.401
36029,67,921584,2.33,0.9979679286124487,51247,40.4,0.06661356968002917,0.9043722264698232,0.4836900380214934,134715,204.984
36031,46.8,38912,2.37,0.9973037747153984,52758,45.9,0.036646792763157895,0.8882517530830081,0.521253083881579,3894,233.584
36033,67.7,51280,2.36,0.9971033150949469,47923,39.8,0.03783151326053042,0.8492782813024505,0.5509555382215289,9213,200.361
36035,69.1,54606,2.4,1,46969,42.8,0.02433798483683112,0.8604177411036616,0.49842508149287623,9100,187.635
